Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,MAR01A,156.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,MAR02,160.700000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,MAR02A,156.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,MAR03A,156.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,MAR04A,156.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,MAR05A,156.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,MAR06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,MAR07A,156.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,MAR08,156.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,MAR09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,MAR10,156.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,MAR11,156.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,MAR12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,MAR13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,MAR14,156.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,MAR15,156.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,MAR 16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,MAR17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,MAR18,161.500000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,MAR18A,156.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,MAR19,161.550000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,MAR19A,156.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,MAR20,161.600000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,MAR20A,157.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,MAR21,161.650000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,MAR21A,157.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,MAR22,161.700000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,MAR22A,157.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,MAR23,161.750000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,MAR23A,157.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,MAR24,161.800000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,MAR25,161.850000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,MAR26,161.900000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,MAR27,161.950000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,MAR28,162.000000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,MAR60,160.625000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,MAR60A,156.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,MAR61,160.675000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,MAR61A,156.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,MAR62,160.725000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,MAR62A,156.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,MAR63,160.775000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,MAR63A,156.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,MAR64,160.825000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,MAR64A,156.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,MAR65,160.875000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,MAR65A,156.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,MAR66,160.925000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,MAR66A,156.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,MAR67,156.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,MAR68,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
