Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,,432.500,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
1,,432.525,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
2,,432.550,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
3,,432.575,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
4,,432.600,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
5,,432.625,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
6,,432.650,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
7,,432.675,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
8,,432.700,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
9,,432.725,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
10,,432.750,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
11,,432.775,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
12,,432.800,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
13,,432.825,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
14,,432.850,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
15,,432.875,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
16,,432.900,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
17,,432.925,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
18,,432.950,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
19,,432.975,,0.000000,,88.5,88.5,023,NN,FM,25.0,,,,,,
