Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,,5.258500,,0.000000,,88.5,88.5,023,NN,CW,2.50,,,,,,
1,,5.276000,,0.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
2,,5.278500,,0.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
3,,5.288000,,0.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
4,,5.298000,,0.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
5,,5.301000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
6,,5.304000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
7,,5.317000,,0.100000,,88.5,88.5,023,NN,AM,2.50,,,,,,
8,,5.320000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
9,,5.333300,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
10,,5.354000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
11,,5.357000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
12,,5.362000,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
13,,5.366500,,0.100000,,88.5,88.5,023,NN,USB,2.50,,,,,,
14,,5.371500,,0.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
15,,5.378000,,0.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
16,,5.395000,,0.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
17,,5.398500,,0.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
18,,5.403500,,0.000000,,88.5,88.5,023,NN,USB,2.50,,,,,,
