Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,RM0,1297.00000,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
1,RM1,1297.02500,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
2,RM2,1297.05000,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
3,RM3,1297.07500,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
4,RM4,1297.10000,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
5,RM5,1297.12500,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
6,RM6,1297.15000,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
7,RM7,1297.17500,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
8,RM8,1297.20000,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
9,RM9,1297.22500,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
10,RM10,1297.25000,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
11,RM11,1297.27500,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
12,RM12,1297.30000,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
13,RM13,1297.32500,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
14,RM14,1297.35000,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
15,RM15,1297.37500,-,6.00000,,88.5,88.5,023,NN,FM,25.00,,,,,,
