Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,V16,145.200000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
1,V17,145.212500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
2,V18,145.225000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
3,V19,145.237500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
4,V20,145.250000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
5,V21,145.262500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
6,V22,145.275000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
7,V23,145.287500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
8,V24,145.300000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
9,V25,145.312500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
10,V26,145.325000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
11,V27,145.337500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
12,V28,145.350000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
13,V29,145.362500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
14,V30,145.375000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
15,V31,145.387500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
16,V32,145.400000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
17,V33,145.412500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
18,V34,145.425000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
19,V35,145.437500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
20,V36,145.450000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
21,V37,145.462500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
22,V38,145.475000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
23,V39,145.487500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
24,V40CALL,145.500000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
25,V41,145.512500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
26,V42,145.525000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
27,V43,145.537500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
28,V44,145.550000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
29,V45,145.562500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
30,V46,145.575000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
31,V47,145.587500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
