Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,446 S,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
2,6DOT52,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
3,6DOT55,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,6DOT58,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,ISS-1,145.800000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,ISS-23,145.800000,-,1.310000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,SSTV,145.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,85-2,145.980000,split,435.160000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
11,85-1,145.980000,split,435.165000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
12,AO-85,145.980000,split,435.170000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
13,85+1,145.980000,split,435.175000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
14,85+2,145.980000,split,435.180000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
20,SO50+4,436.815000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
21,SO50+3,436.810000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
22,SO50+2,436.805000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
23,SO50+1,436.800000,-,5.000000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
24,50-744,436.795000,split,145.850000,Tone,74.4,88.5,023,NN,FM,5.00,S,,,,,
25,50-MID,436.795000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
26,SO50-1,436.790000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
27,SO50+2,436.785000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
28,SO50+3,436.780000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,S,,,,,
30,WX1 LA,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
31,WX2 SD,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
32,WX3,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
33,WX4,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
34,WX5 OC,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
35,WX6,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
36,WX7,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
41,91-2,145.960000,split,435.240000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
42,91-1,145.960000,split,435.245000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
43,AO-91,145.960000,split,435.250000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
44,91+1,145.960000,split,435.255000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
45,91+2,145.960000,split,435.260000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
51,92-2,145.880000,split,435.340000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
52,92-1,145.880000,split,435.345000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
53,AO-92,145.880000,split,435.350000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
54,92+1,145.880000,split,435.355000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
55,92+2,145.880000,split,435.360000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
