Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
1,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
24,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,BLUE DO,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,GREEN D,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,MVHF  L,155.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,MVHF  L,155.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,MVHF  F,155.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,MVHF  F,155.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,MVHF  F,155.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,MVHF K0,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,MVHF K6,156.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,MVHF K0,156.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,MVHF K6,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,MVHF K0,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,MVHF K6,156.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,MVHF K1,156.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,MDSC K7,156.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,MVHF K1,156.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,MVHF K7,156.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,MVHF K1,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,MVHF K7,156.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,MVHF K1,156.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,MVHF K7,156.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,MVHF K1,156.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,MVHF K7,156.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,MVHF K1,156.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,MVHF K1,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,MVHF K1,156.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
51,MVHF K7,156.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
52,MVHF K6,160.625000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
