Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,GB3DA,145.725000,-,0.600000,Tone,110.9,110.9,023,NN,NFM,12.50,,Danbury 2m,,,,
1,GB3ER,433.075000,+,1.600000,Tone,110.9,110.9,023,NN,NFM,12.50,,Danbury 70cm,,,,
2,S20,145.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,2m FM Calling,,,,
3,S21,145.525000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,2m Simplex,,,,
4,S22,145.550000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,2m Simplex,,,,
5,SU20,433.500000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,70cm FM Calling,,,,
6,SU21,433.525000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,70cm Simplex,,,,
7,SU22,433.550000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,70cm Simplex,,,,
8,APRS,144.800000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,APRS UI-View,,,,
9,MB7IDA,145.337500,,0.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,Danbury EchoLink,,,,
10,SO-50,145.850000,split,436.795000,Tone,67.0,88.5,023,NN,FM,5.00,,SO-50 Satellite,,,,
11,GB3BZ,430.850000,+,7.600000,Tone,110.9,88.5,023,NN,NFM,25.00,,Braintree 70cm,,,,
12,GB3CE,433.350000,+,1.600000,Tone,67.0,88.5,023,NN,NFM,25.00,,Colchester 70cm,,,,
13,GB3CK,433.000000,+,1.600000,Tone,103.5,88.5,023,NN,NFM,25.00,,Canterbury 70cm,,,,
14,GB3CL,433.225000,+,1.600000,Tone,67.0,88.5,023,NN,NFM,12.50,,Clacton 70cm,,,,
15,GB3DE,433.175000,+,1.600000,Tone,110.9,88.5,023,NN,NFM,25.00,,Ipswich 70cm,,,,
16,GB3EA,145.687500,-,0.600000,Tone,110.9,88.5,023,NN,NFM,12.50,,Wickhambrook 2m,,,,
17,GB3EK,430.887500,+,7.600000,Tone,103.5,88.5,023,NN,NFM,25.00,,Margate 70cm,,,,
18,GB3EL,145.600000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,12.50,,Stratford 2m,,,,
19,GB3EZ,430.975000,+,7.600000,Tone,110.9,88.5,023,NN,NFM,25.00,,Wickhambrook 70cm,,,,
20,GB3HW,433.325000,+,1.600000,Tone,110.9,88.5,023,NN,NFM,25.00,,Harold Wood 70cm,,,,
21,GB3IH,433.100000,+,1.600000,Tone,110.9,88.5,023,NN,NFM,25.00,,Ipswich 70cm,,,,
22,GB3IK,145.762500,-,0.600000,Tone,103.5,88.5,023,NN,NFM,12.50,,Rochester 2m,,,,
23,GB3LV,433.050000,+,1.600000,Tone,82.5,88.5,023,NN,NFM,25.00,,Enfield 70cm,,,,
24,GB3KN,145.700000,-,0.600000,Tone,103.5,88.5,023,NN,NFM,12.50,,Maidstone 2m,,,,
25,GB3KS,145.625000,-,0.600000,Tone,103.5,88.5,023,NN,NFM,12.50,,Dover 2m,,,,
26,GB3NK,433.100000,+,1.600000,Tone,103.5,88.5,023,NN,NFM,25.00,,Erith 70cm,,,,
27,GB3NL,145.775000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,12.50,,Enfield 2m,,,,
28,GB3OY,430.950000,+,7.600000,Tone,82.5,88.5,023,NN,NFM,12.50,,Buckhurst Hill 70cm,,,,
29,GB3PI,145.750000,-,0.600000,Tone,77.0,88.5,023,NN,NFM,12.50,,Cambridge 2m,,,,
30,GB3PO,145.650000,-,0.600000,Tone,110.9,88.5,023,NN,NFM,12.50,,Ipswich 2m,,,,
31,GB3PY,433.200000,+,1.600000,Tone,77.0,88.5,023,NN,NFM,12.50,,Cambridge 70cm,,,,
32,GB3RE,433.275000,+,1.600000,Tone,103.5,88.5,023,NN,NFM,25.00,,Chatham 70cm,,,,
33,GB3TE,145.612500,-,0.600000,Tone,67.0,88.5,023,NN,NFM,12.50,,Clacton 2m,,,,
