Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
1,DO0GG,438.850000,-,7.600000,,88.5,88.5,FM,12.5,
2,SR0WW,438.825000,-,7.600000,Tone,82.5,82.5,FM,12.5,WOLIN
3,SR1CH,145.787500,split,439.500000,Tone,82.5,82.5,FM,12.5,Czartoryja
4,SR1D,145.612500,-,0.600000,Tone,77.0,77.0,FM,12.5,Dębno
6,SR1G,145.625000,-,0.600000,Tone,88.5,88.5,FM,12.5,Kołobrzeg
7,SR1K,145.700000,-,0.600000,Tone,82.5,82.5,FM,12.5,Stargard
9,SR1KN,438.675000,-,7.600000,,88.5,88.5,FM,12.5,Koszalin Góra Chełmska - wieża widokowa
10,SR1LS,1298.300000,-,28.000000,Tone,82.5,82.5,FM,12.5,Szczecin
11,SR1N,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Koszalin
12,SR1P,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Postomino
13,SR1RE,439.150000,-,7.600000,Tone,88.5,88.5,FM,12.5,Resko
14,SR1RG,438.875000,-,7.600000,Tone,82.5,82.5,FM,12.5,Trzebiatów
15,SR1S,145.775000,-,0.600000,Tone,82.5,82.5,FM,12.5,Szczecin
16,SR1SZ,439.075000,-,7.600000,Tone,82.5,82.5,FM,12.5,Szczecin
17,SR1TS,29.670000,-,0.100000,Tone,82.5,82.5,FM,12.5,Szczecin
18,SR1UVH,439.025000,-,7.600000,,88.5,88.5,DV,12.5,Świnoujście
19,SR1UVS,439.412500,-,7.600000,,88.5,82.5,DV,12.5,Szczecin
21,SR1WA,439.400000,-,7.600000,Tone,82.5,82.5,FM,12.5,Wałcz
23,SR1WX,439.200000,-,7.600000,Tone,82.5,82.5,FM,12.5,Stargard
24,SR1YWX,439.262500,-,7.600000,,88.5,82.5,FM,12.5,Szczecin
25,SR1Z,145.637500,-,0.600000,Tone,82.5,82.5,FM,12.5,Kołowo EMITEL
26,SR1ZK-B,439.300000,-,7.600000,,88.5,88.5,DV,12.5,SZCZECIN
27,SR1ZW,438.825000,-,7.600000,Tone,82.5,82.5,FM,12.5,Świnoujście
29,SR2BG,145.725000,-,0.600000,Tone,67.0,67.0,FM,12.5,Bydgoszcz
30,SR2BT,439.100000,-,7.600000,Tone,77.0,77.0,FM,12.5,Bory Tucholskie
31,SR2BW,438.700000,-,7.600000,,88.5,88.5,FM,12.5,Bytów - komin ciepłowni Veolia Północ
32,SR2BY,438.725000,-,7.600000,Tone,67.0,67.0,FM,12.5,Bydgoszcz
33,SR2C,145.600000,-,0.600000,Tone,94.8,94.8,FM,12.5,Chwaszczyno EMITEL
39,SR2GA,438.975000,-,7.600000,Tone,94.8,94.8,FM,12.5,Władysławowo
40,SR2GD,439.075000,-,7.600000,Tone,94.8,88.5,FM,12.5,Gdańsk
41,SR2GD-C,439.087500,-,7.600000,Tone,94.8,88.5,FM,12.5,Gdańsk
44,SR2GN,439.325000,-,7.600000,Tone,94.8,94.8,FM,12.5,Gniewino - Wieża widokowa
45,SR2GR,439.200000,-,7.600000,Tone,94.8,94.8,FM,12.5,Grudziądz
46,SR2GS,438.550000,-,7.600000,Tone,94.8,94.8,FM,12.5,Chwaszczyno
47,SR2GT,439.025000,-,7.600000,Tone,94.8,94.8,FM,12.5,Chwaszczyno EMITEL
49,SR2J,145.750000,-,0.600000,Tone,67.0,67.0,FM,12.5,Jabłowo Pałuckie - wieża p.poż
50,SR2JJ,439.162500,-,7.600000,Tone,67.0,67.0,FM,12.5,Jabłowo Pałuckie - wieża p.poż
51,SR2K,145.712500,-,0.600000,Tone,88.5,88.5,FM,12.5,Toruń
52,SR2KU,439.425000,-,7.600000,Tone,94.8,94.8,FM,12.5,Wieżyca
53,SR2KY,439.250000,-,7.600000,,88.5,88.5,FM,12.5,Kwidzyn
56,SR2PB,145.737500,-,0.600000,Tone,88.5,88.5,FM,12.5,Szramowo
57,SR2R,145.650000,-,0.600000,Tone,67.0,67.0,FM,12.5,Inowrocław
58,SR2RR,438.662500,-,7.600000,Tone,67.0,67.0,FM,12.5,Inowrocław
59,SR2SL,438.750000,-,7.600000,,88.5,88.5,FM,12.5,Słupsk
60,SR2T,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Toruń
61,SR2TO,438.775000,-,7.600000,Tone,88.5,88.5,FM,12.5,Toruń
62,SR2UVF,438.937500,-,7.600000,,88.5,88.5,DV,12.5,Bydgoszcz
64,SR2UVG-B,438.687500,-,7.600000,,88.5,88.5,DV,12.5,Chwaszczyno EMITEL
65,SR2UVO,438.962500,-,7.600000,,88.5,88.5,DV,12.5,
66,SR2UVT-C,145.662500,-,0.600000,,88.5,88.5,DV,12.5,Tuchola
67,SR2UVV-B,439.312500,-,7.600000,,88.5,88.5,DV,12.5,Jabłowo Pałuckie - wieża p.poż
68,SR2UVV-C,439.537500,-,7.600000,,88.5,88.5,DV,12.5,Jabłowo Pałuckie - wieża p.poż
69,SR2VV,439.137500,-,7.600000,Tone,67.0,67.0,FM,12.5,Szubin
70,SR2VV-B,145.587500,-,0.600000,,88.5,88.5,DV,12.5,Szubin
71,SR2VVV,439.337500,-,7.600000,,88.5,88.5,DV,12.5,Szubin
72,SR2VVV-B,439.537500,-,7.600000,,88.5,88.5,DV,12.5,Szubin
73,SR2W,145.737500,-,0.600000,Tone,82.5,82.5,FM,12.5,Włocławek
74,SR2WL,439.025000,-,7.600000,Tone,82.5,88.5,FM,12.5,Włocławek
75,SR2Z,145.650000,-,0.600000,Tone,94.8,94.8,FM,12.5,Gdynia-Oksywie EMITEL
76,SR3BBS-R,438.100000,split,438.100000,Tone,110.9,110.9,FM,12.5,Poznań
81,SR3G,145.750000,-,0.600000,Tone,77.0,77.0,FM,12.5,Gorzów Wielkopolski
82,SR3GO,439.175000,-,7.600000,Tone,77.0,88.5,FM,12.5,Gorzów Wielkopolski
83,SR3GW,438.950000,-,7.600000,Tone,77.0,88.5,FM,12.5,Gorzów Wielkopolski - lokalny
84,SR3JA,438.975000,-,7.600000,Tone,110.9,110.9,FM,12.5,Jarocin, ul. Kościuszki 43
85,SR3K,145.750000,-,0.600000,,88.5,88.5,FM,12.5,Kalisz
87,SR3KEP,438.437500,-,7.600000,Tone,103.5,88.5,FM,12.5,Kępno
88,SR3KH,438.800000,-,7.600000,,88.5,88.5,FM,12.5,Koło - ZST
91,SR3L,145.775000,-,0.600000,Tone,103.5,103.5,FM,12.5,Leszno
92,SR3LS,439.275000,-,7.600000,Tone,103.5,103.5,FM,12.5,Leszno
93,SR3LW,439.125000,-,7.600000,Tone,110.9,110.9,FM,12.5,Lwówek
95,SR3MDW,439.225000,-,7.600000,Tone,103.5,103.5,FM,12.5,Leszno
96,SR3N,145.687500,-,0.600000,Tone,67.0,88.5,FM,12.5,Piła
97,SR3O,145.725000,-,0.600000,Tone,103.5,88.5,FM,12.5,Ostrów Wielkopolski
98,SR3OS,439.300000,-,7.600000,Tone,103.5,103.5,FM,12.5,Ostrów Wielkopolski
100,SR3P,145.650000,-,0.600000,Tone,110.9,110.9,FM,12.5,Poznań - Dębiec
101,SR3PO,1298.400000,-,28.000000,,88.5,88.5,FM,12.5,Poznań
102,SR3PO,439.200000,-,7.600000,Tone,110.9,110.9,FM,12.5,Poznań
103,SR3PX,438.900000,-,7.600000,Tone,110.9,110.9,FM,12.5,Słomowo
104,SR3RR,438.825000,-,7.600000,Tone,103.5,103.5,FM,12.5,Rawicz
105,SR3SR,439.100000,-,7.600000,Tone,110.9,110.9,FM,12.5,Środa Wielkopolska, Zespoł Szkół Rolniczych
106,SR3T,145.637500,-,0.600000,Tone,110.9,110.9,FM,12.5,Malanów
107,SR3TU,439.150000,-,7.600000,,88.5,88.5,FM,12.5,Turek
109,SR3UVL,439.237500,-,7.600000,,88.5,88.5,DV,12.5,Leszno
111,SR3WT,439.325000,-,7.600000,Tone,110.9,110.9,FM,12.5,Wolsztyn
112,SR3X,145.762500,-,0.600000,Tone,110.9,110.9,FM,12.5,Poznań
114,SR3XXX,438.700000,-,7.600000,Tone,110.9,110.9,FM,12.5,Poznań
115,SR3Z,145.712500,-,0.600000,Tone,71.9,71.9,FM,12.5,Zielona Góra
116,SR3ZG,439.075000,-,7.600000,Tone,203.5,203.5,FM,12.5,Zielona Góra
117,SR3ZJ,438.750000,-,7.600000,Tone,79.7,79.7,FM,12.5,Jemiołów EMITEL
123,SR4BK,438.925000,-,7.600000,,88.5,88.5,FM,12.5,Białystok, Politechnika Białostocka
125,SR4BS,439.025000,-,7.600000,Tone,67.0,67.0,FM,12.5,Białystok
128,SR4D,145.787500,-,0.600000,Tone,67.0,67.0,FM,12.5,Miłki k/Giżycka  EMITEL
129,SR4DG,438.862500,-,7.600000,Tone,67.0,67.0,FM,12.5,Góra Dylewska EMITEL
131,SR4DGT,438.575000,-,7.600000,Tone,67.0,67.0,FM,12.5,Góra Dylewska EMITEL
134,SR4H,439.237500,-,7.600000,Tone,67.0,67.0,FM,12.5,Hajnowka
135,SR4J,145.625000,-,0.600000,Tone,67.0,67.0,FM,12.5,Góra Dylewska EMITEL
138,SR4LDG,1298.200000,-,28.000000,,88.5,67.0,FM,12.5,Góra Dylewska EMITEL
139,SR4LM,1298.600000,-,28.000000,,88.5,88.5,FM,12.5,Miłki k/Giżycka EMITEL
140,SR4LO,439.100000,-,7.600000,Tone,67.0,67.0,FM,12.5,Łomża - maszt
141,SR4M,145.600000,-,0.600000,Tone,67.0,67.0,FM,12.5,Miłki k/Giżycka  EMITEL
142,SR4MI,438.750000,-,7.600000,Tone,67.0,67.0,FM,12.5,Miłki k/Giżycka EMITEL
145,SR4MR,439.150000,-,7.600000,Tone,67.0,67.0,FM,12.5,Mrągowo - wieża ciśnień wodociągów
146,SR4MWO,438.150000,-,7.600000,,88.5,88.5,DV,12.5,Mrągowo
147,SR4O,145.725000,-,0.600000,,88.5,67.0,FM,12.5,Olsztyn
149,SR4ON,438.675000,-,7.600000,Tone,67.0,67.0,FM,12.5,Olsztyn
152,SR4ONX,438.950000,-,7.600000,,88.5,88.5,FM,12.5,Olsztyn
153,SR4S,145.575000,-,0.600000,Tone,67.0,67.0,FM,12.5,SOKÓŁKA - KKN DRAHLE
154,SR4SN,438.875000,-,7.600000,Tone,67.0,67.0,FM,12.5,Szczytno
155,SR4SU,438.800000,-,7.600000,Tone,67.0,67.0,FM,12.5,Jeleniewo
156,SR4SUU,438.900000,-,7.600000,,88.5,88.5,FM,12.5,Suwałki, ul. Mickiewicza 15
157,SR4SW,439.325000,-,7.600000,,88.5,88.5,FM,12.5,Świętajno
158,SR4SWE,439.450000,-,7.600000,,88.5,88.5,DV,12.5,Świętajno
159,SR4U,145.725000,-,0.600000,,88.5,88.5,FM,12.5,Białystok
160,SR4UBI,439.425000,-,7.600000,,88.5,88.5,DV,12.5,Białystok
161,SR4UG,438.775000,-,7.600000,,88.5,88.5,DV,12.5,Giby
162,SR4UVD,439.512500,-,7.600000,,88.5,88.5,DV,12.5,Góra Dylewska EMITEL
163,SR4UVE,438.600000,-,7.600000,Tone,94.8,94.8,FM,12.5,Pasłęk
164,SR4UVM,439.487500,-,7.600000,,88.5,88.5,DV,12.5,Miłki k/Giżycka  EMITEL
165,SR4UVN,439.462500,-,7.600000,,88.5,88.5,DV,12.5,Olsztyn
166,SR4UVQ,145.775000,-,0.600000,Tone,94.8,94.8,FM,12.5,ROGAJNY
167,SR4VVQ,145.675000,-,0.600000,,88.5,88.5,DV,12.5,Rogajny
