Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,GB3AA,145.662500,-,0.600000,Tone,94.8,94.8,023,NN,FM,12.50,,BRISTOL,,,,
1,GB3AB,433.375000,+,1.600000,Tone,82.5,82.5,023,NN,FM,12.50,,SHEFFIELD,,,,
2,GB3AC,430.975000,+,7.600000,Tone,94.8,94.8,023,NN,FM,12.50,,BRISTOL,,,,
3,GB3AD,438.387500,-,7.600000,Tone,118.8,118.8,023,NN,FM,12.50,,HAWICK,,,,
4,GB3AG,145.725000,-,0.600000,Tone,94.8,94.8,023,NN,FM,12.50,,ANGUS,,,,
5,GB3AH,433.275000,+,1.600000,Tone,94.8,94.8,023,NN,FM,12.50,,EAST DEREHAM,,,,
6,GB3AL,145.737500,-,0.600000,Tone,77.0,77.0,023,NN,FM,12.50,,AMERSHAM,,,,
7,GB3AN,433.200000,+,1.600000,Tone,110.9,110.9,023,NN,FM,12.50,,AMLWCH,,,,
8,GB3AR,145.700000,-,0.600000,Tone,110.9,110.9,023,NN,FM,12.50,,CAERNARFON,,,,
9,GB3AS,145.600000,-,0.600000,Tone,77.0,77.0,023,NN,FM,12.50,,LANGHOLM,,,,
10,GB3AU,433.175000,+,1.600000,Tone,82.5,82.5,023,NN,FM,12.50,,AMERSHAM,,,,
11,GB3AV,433.050000,+,1.600000,Tone,118.8,118.8,023,NN,FM,12.50,,AYLESBURY,,,,
12,GB3AW,433.250000,+,1.600000,Tone,71.9,71.9,023,NN,FM,12.50,,NEWBURY,,,,
13,GB3AY,145.650000,-,0.600000,Tone,103.5,103.5,023,NN,FM,12.50,,DALRY,,,,
14,GB3BA,433.325000,+,1.600000,Tone,71.9,71.9,023,NN,FM,12.50,,BASINGSTOKE,,,,
15,GB3BB,145.700000,-,0.600000,Tone,94.8,94.8,023,NN,FM,12.50,,BRECON,,,,
16,GB3BC,145.750000,-,0.600000,Tone,94.8,94.8,023,NN,FM,12.50,,PONTYPRIDD,,,,
17,GB3BD,430.812500,+,7.600000,Tone,71.9,71.9,023,NN,FM,12.50,,BANBURY,,,,
18,GB3BE,430.862500,+,7.600000,Tone,118.8,118.8,023,NN,FM,12.50,,DUNS,,,,
19,GB3BF,145.787500,-,0.600000,Tone,77.0,77.0,023,NN,FM,12.50,,BEDFORD,,,,
20,GB3BG,145.750000,-,0.600000,Tone,118.8,118.8,023,NN,FM,12.50,,CHULMLEIGH,,,,
21,GB3BH,430.987500,+,7.600000,Tone,77.0,77.0,023,NN,FM,12.50,,BEXHILL-ON-SEA,,,,
22,GB3BI,145.725000,-,0.600000,Tone,67.0,67.0,023,NN,FM,12.50,,MUIR OF ORD,,,,
